město;nazev;datum
Bohumín;Oznámení SMOOK o rozpočtu pro rok 2023 - 2026;2021-12-07
Bohumín;Sdělení o závěrečném účtu města 2022;2023-04-13
Bohumín;Závěrečný účet Svazku měst a obcí okresu Karviná za rok 2022;2023-07-03
Bohumín;Schválený rozpočet města pro rok 2024;2023-12-06
Bohumín;Oznámení SMOOK o schváleném střednědobém výhledu rozpočtu na 2025 - 2028;2023-12-22
Bohumín;Oznámení SMOOK o schválení rozpočtu pro rok 2024;2023-12-22
Bohumín;Usnesení - Zdeno Miškovič;2024-02-16
Bohumín;Sdělení o změně rozpočtu;2024-02-26
Bohumín;Informace o počtu a sídlech volebních okrsků - VOLBY DO EVROPSKÉHO PARLAMENTU 2024;2024-04-03
Bohumín;Stanovení minimálního počtu členů OVK - VOLBY DO EVROPSKÉHO PARLAMENTU;2024-04-03
Bohumín;Sdělení o změně rozpočtu;2024-04-22
Bohumín;Sdělení o závěrečném účtu města 2023;2024-04-22
Bohumín;Volby do Evropského parlamentu - 7. a 8. června 2024;2024-04-24
Bohumín;Hromadný předpisný seznam;2024-04-30
Bohumín;Porovnání všech položek výpočtu (kalkulace) cen pro vodné a stočné za rok 2023;2024-04-30
Bohumín;Oznámení o plánovaném přerušení dodávky elektrické energie č. 110060952991;2024-05-07
Bohumín;Instalace dopravního zařízení svodidel a sloupků na ulici Rychvaldská - Bohumín Záblatí;2024-05-10
Bohumín;PDZ stavba zpomalovacího ostrůvku ul. Novoveská a Opletalova - Bohumín Skřečoň;2024-05-10
Bohumín;Zveřejnění záměru směny pozemku p. č. 243, k. ú.Starý Bohumín;2024-05-13
Bohumín;Zveřejnění záměru darování pozemků, k. ú. Nový Bohumín;2024-05-13
Bohumín;PDZ - omezení parkování - výměna oken Čs. armády 690 Bohumín;2024-05-13
Bohumín;Vyrozumění - Štachel Dominik;2024-05-14
Bohumín;Oznámení výběrového řízení - pro stát nepotřebného majetku;2024-05-14
Bohumín;Veřejná vyhláška  - Zpráva o uplatňování Územního plánu Rychvaldu;2024-05-15
Bohumín;Zveřejnění záměru prodeje pozemku p. č. 97/1, k.ú. Vrbice nad Odrou;2024-05-17
Bohumín;Výstavba haly pro měřící vůz pevných trakčních zařízení - změna dopravního značení na ul .Lidická - Bohumín;2024-05-20
Bohumín;Oznámení o plánovaném přerušení dodávky elektrické energie č. 110060957525;2024-05-21
Bohumín;Dražební vyhláška - Tomáš Oravec;2024-05-21
Bohumín;OZNÁMENÍ O DOBĚ A MÍSTĚ KONÁNÍ VOLEB DO EVROPSKÉHO PARLAMENTU;2024-05-21
Bohumín;Licitace motorového vozidla Dacia Duster;2024-05-22
Bohumín;Dopravní značení - zákaz stání na ul. Malá, Starý Bohumín;2024-05-23
Bohumín;Oprava okružní křižovatky I/67 u EXIT 370 dálnice D1 v Bohumíně;2024-05-23
Bohumín;Oprava vodovodního řádu ul. Na Koutě Starý Bohumín, stanovení přenosného dopravního značení;2024-05-23
Boskovice;Opatření obecné povahy, Stanovení PÚP na MK ve městě Boskovice, ul. Hybešova - oprava komunikace;2024-05-24
Boskovice;Vyhlášení nálezu;2024-05-24
Boskovice;018 EX 03355/10-171 - Dražební vyhláška;2024-05-24
Boskovice;Oznámení, Zahájení společného řízení- Stavební úpravy a nástavba RD;2024-05-23
Boskovice;Veřejná vyhláška, Oznámení o návrhu stanovení MÚP na MK ve městě Letovice;2024-05-23
Boskovice;Město Boskovice - Oznámení o vyhlášení výběrového řízení;2024-05-22
Boskovice;Vyhlášení nálezu;2024-05-22
Boskovice;Vyhlášení nálezu;2024-05-21
Boskovice;Veřejná vyhláška - Rozhodnutí - Schválení stavebního záměru - \Křetín - optimalizace vodovodu\;2024-05-20
Boskovice;Opatření obecné povahy, stanovení PÚP na PK v Boskovicích, ul. 17. listopadu;2024-05-20
Boskovice;Krajský úřad JMK - Zveřejnění návrhu OOP -  pajasan žláznatý;2024-05-20
Boskovice;203 Ex 16194/21 Dražební vyhláška;2024-05-17
Boskovice;Opatření obecné povahy, Stanovení PÚP na veřejně přístupné účelové komunikaci v k.ú. Bahna a v k.ú. Rumberk;2024-05-16
Boskovice;Veřejná vyhláška, Oznámení neznámému účastníku řízení;2024-05-16
Boskovice;Opatření obecné povahy, Stanovení PÚP na PK - Šebetov - II/374 VODOVOD A KANALIZACE;2024-05-15
Boskovice;Město Boskovice - Záměr uzavření dodatku č. 1 ke smlouvě o nájmu;2024-05-15
Boskovice;Město Boskovice - Záměr propachtování pozemků;2024-05-15
Boskovice;Vyhlášení nálezu;2024-05-15
Boskovice;Vyhlášení nálezu;2024-05-15
Boskovice;Veřejné oznámení - Pozvánka na valnou hromadu Honebního společenstva Boskovice I;2024-05-14
Boskovice;Opatření obecné povahy, stanovení PÚP na PK ve městě Kunštát;2024-05-14
Boskovice;Vyhlášení nálezu;2024-05-14
Boskovice;Výběrové řízení na obsazení funkce jednatele/jednatelky společnosti Nemocnice Boskovice s.r.o.;2024-05-10
Boskovice;Oznámení o vyhlášení výběrového řízení - referent/referentka stavebního úřadu;2024-05-10
Boskovice;Oznámení o uzavření veřejnoprávní smlouvy;2024-05-10
Boskovice;Opatření obecné povahy, Stanovení PÚP ve městě Olešnici;2024-05-09
Boskovice;Dražební vyhláška;2024-05-06
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Deštná - prodloužení;2024-04-30
Boskovice;Vodárenská akciová společnost - Kalkulace cen pro vodné a stočné za kalendářní rok 2023 a dosažené skutečnosti v témže roce;2024-04-30
Boskovice;Finanční úřad pro JMK - Veřejná vyhláška;2024-04-30
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Štěchov;2024-04-30
Boskovice;Veřejná vyhláška, zahájení řízení o Změně č. 2 ÚP Borotín;2024-04-29
Boskovice;Dotační program - \Podpora sportovních trenérů mládeže\ na rok 2024;2024-04-24
Boskovice;Město Boskovice - Odbor finanční - Oznámení;2024-04-24
Boskovice;Oznámení o projednávání návrhu zprávy o uplatňování ÚP Benešov;2024-04-23
Boskovice;Oznámení o době a místě konání voleb do EP ve městě Boskovice;2024-04-10
Boskovice;Informace o počtu a sídle volebních okrsků pro volby do Evropského parlamentu;2024-04-03
Boskovice;Stanovení minimálního počtu členů volební komise pro volby do Evropského parlamentu;2024-04-03
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Sulíkov a v místní části města Letovice Kladoruby;2024-03-28
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Skrchov;2024-03-28
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Kořenec;2024-03-27
Boskovice;Veřejná vyhláška - Opatření obecné povahy k omezení užívání pitné vody v obci Újezd u Boskovic;2024-03-27
