,mesto,sirka,vyska,admin_name
0,Praha,50.0875,14.4214,Praha
1,Olomouc,49.5939,17.2508,Olomoucký Kraj
2,Brno,49.1925,16.6083,Jihomoravský Kraj
3,Ostrava,49.8356,18.2925,Moravskoslezský Kraj
4,Plzeň,49.7475,13.3775,Plzeňský Kraj
5,Liberec,50.7667,15.0667,Liberecký Kraj
6,České Budějovice,48.9747,14.4747,Jihočeský Kraj
7,Hradec Králové,50.2092,15.8322,Královéhradecký Kraj
8,Ústí nad Labem,50.6583,14.0417,Ústecký Kraj
9,Pardubice,50.0386,15.7792,Pardubický Kraj
10,Zlín,49.2331,17.6669,Zlínský Kraj
11,Havířov,49.7831,18.4228,Moravskoslezský Kraj
12,Kladno,50.15,14.1,Středočeský Kraj
13,Most,50.5031,13.6367,Ústecký Kraj
14,Opava,49.9381,17.9044,Moravskoslezský Kraj
15,Frýdek-Místek,49.6856,18.3506,Moravskoslezský Kraj
16,Jihlava,49.4003,15.5906,Vysočina
17,Karviná,49.8542,18.5428,Moravskoslezský Kraj
18,Teplice,50.6444,13.8319,Ústecký Kraj
19,Chomutov,50.4611,13.4167,Ústecký Kraj
20,Karlovy Vary,50.2306,12.8725,Karlovarský Kraj
21,Jablonec nad Nisou,50.7244,15.1681,Liberecký Kraj
22,Mladá Boleslav,50.4125,14.9044,Středočeský Kraj
23,Prostějov,49.4722,17.1106,Olomoucký Kraj
24,Přerov,49.4556,17.4511,Olomoucký Kraj
25,Česká Lípa,50.6886,14.5386,Liberecký Kraj
26,Třebíč,49.215,15.8817,Vysočina
27,Tábor,49.4144,14.6578,Jihočeský Kraj
28,Znojmo,48.8556,16.0489,Jihomoravský Kraj
29,Kolín,50.0281,15.2006,Středočeský Kraj
30,Příbram,49.6883,14.0092,Středočeský Kraj
31,Písek,49.3089,14.1475,Jihočeský Kraj
32,Kroměříž,49.2989,17.3931,Zlínský Kraj
33,Orlová,49.8452,18.4302,Moravskoslezský Kraj
34,Líšeň,49.2075,16.6861,Jihomoravský Kraj
35,Břevnov,50.0833,14.3579,Středočeský Kraj
36,Vsetín,49.3387,17.9962,Zlínský Kraj
37,Šumperk,49.9653,16.9707,Olomoucký Kraj
38,Uherské Hradiště,49.0697,17.4597,Zlínský Kraj
39,Bystrc,49.2247,16.5239,Jihomoravský Kraj
40,Český Těšín,49.7461,18.6261,Moravskoslezský Kraj
41,Litoměřice,50.5342,14.1328,Ústecký Kraj
42,Litvínov,50.6008,13.6112,Ústecký Kraj
43,Nový Jičín,49.5944,18.0103,Moravskoslezský Kraj
44,Chrudim,49.9511,15.7956,Pardubický Kraj
45,Krnov,50.0906,17.6986,Moravskoslezský Kraj
46,Sokolov,50.1814,12.6402,Karlovarský Kraj
47,Strakonice,49.2615,13.9024,Jihočeský Kraj
48,Valašské Meziříčí,49.4718,17.9712,Zlínský Kraj
49,Kopřivnice,49.5995,18.1448,Moravskoslezský Kraj
50,Kutná Hora,49.9483,15.2683,Středočeský Kraj
51,Žďár nad Sázavou,49.5627,15.9393,Vysočina
52,Bohumín,49.9042,18.3575,Moravskoslezský Kraj
53,Blansko,49.3631,16.6431,Jihomoravský Kraj
54,Beroun,49.9642,14.0739,Středočeský Kraj
55,Náchod,50.4167,16.163,Královéhradecký Kraj
56,Mělník,50.3506,14.4742,Středočeský Kraj
57,Brandýs nad Labem-Stará Boleslav,50.1894,14.6672,Středočeský Kraj
58,Jirkov,50.4999,13.4478,Ústecký Kraj
