,rok,poskytnutí dotace,investiční dotace,veřejnoprávní smlouva,106/1999,úpravy provozu,přechodné úpravy,místní úpravy,veřejná vyhláška,dražební vyhláška,opatření obecné povahy,dodávky elektrické energie
0,1970,0,0,0,0,0,0,0,0,0,0,0
1,2006,0,0,0,0,0,0,0,0,0,0,0
2,2008,0,0,0,0,0,0,0,2,0,0,0
3,2009,0,0,0,0,0,0,0,4,7,0,0
4,2010,0,0,0,0,0,0,0,19,3,0,0
5,2011,0,0,0,0,0,0,0,2,0,0,0
6,2012,0,0,0,8,1,0,1,0,0,1,0
7,2013,0,0,0,2,0,0,0,0,0,0,0
8,2014,0,0,1,11,0,0,1,0,0,1,0
9,2015,0,0,0,36,2,0,2,0,0,0,0
10,2016,36,0,39,30,1,0,1,2,7,1,0
11,2017,40,0,47,31,2,0,1,0,2,1,1
12,2018,28,0,59,28,13,9,4,4,1,1,0
13,2019,69,0,27,56,5,4,1,3,1,4,0
14,2020,69,3,29,34,2,1,2,2,11,7,1
15,2021,180,54,71,36,5,6,1,4,0,4,4
16,2022,324,105,185,31,126,116,23,9,16,1,25
17,2023,292,93,193,46,200,179,22,33,41,11,61
18,2024,190,37,135,29,620,528,197,743,270,325,177
