,City,poskytnutí dotace,investiční dotace,veřejnoprávní smlouva,106/1999,úpravy provozu,přechodné úpravy,místní úpravy,veřejná vyhláška,dražební vyhláška,opatření obecné povahy,dodávky elektrické energie
0,Bohumín,0,0,0,0,0,0,0,1,1,0,2
1,Boskovice,0,0,0,0,0,0,0,12,3,13,0
2,Brno,12,140,0,0,14,3,15,71,17,6,4
3,Bruntál,0,0,0,0,6,6,0,0,2,0,0
4,Bílina,0,61,0,0,0,0,0,0,4,6,0
5,Domažlice,1,0,0,0,5,5,0,4,1,2,1
6,Dvůr Králové Nad Labem,0,0,0,1,7,1,6,3,4,4,0
7,Frýdlant Nad Ostravicí,2,0,2,0,0,0,0,2,0,0,0
8,Hlučín,0,0,0,0,0,0,0,4,0,0,0
9,Hradec Králové,37,0,1,0,1,46,6,2,8,0,20
10,Jablonec Nad Nisou,0,0,0,0,67,61,5,58,3,70,7
11,Jablunkov,7,0,13,0,1,1,0,4,1,1,0
12,Jičín,0,0,0,6,0,0,0,3,6,0,0
13,Karlovy Vary,0,0,0,0,2,2,0,29,5,24,0
14,Kladno,0,0,0,0,0,0,0,5,2,0,0
15,Kopřivnice,0,0,0,0,6,6,0,10,1,6,2
16,Krnov,0,0,0,0,11,7,4,6,4,2,2
17,Kroměříž,0,0,0,0,139,69,56,231,25,0,33
18,Kutná Hora,17,0,17,0,15,18,0,0,8,1,0
19,Lanškroun,37,1,23,1,5,5,0,1,0,6,6
20,Liberec,0,0,0,0,0,0,0,0,4,0,0
21,Litoměřice,2,0,29,352,5,22,6,1,0,0,0
22,Litvínov,0,71,104,0,13,12,1,1,4,1,0
23,Louny,1,0,1,0,10,4,6,21,1,8,1
24,Lovosice,0,0,0,0,2,2,0,0,3,0,0
25,Mělník,0,0,5,0,2,2,0,18,3,7,4
26,Nový Jičín,0,0,0,0,8,7,1,0,7,8,0
27,Nymburk,0,0,0,0,5,3,1,2,2,6,2
28,Odolena Voda,0,0,0,0,0,0,0,3,0,0,1
29,Olomouc,0,0,0,0,0,0,0,12,20,1,6
30,Orlová,0,0,3,0,0,0,0,6,3,0,2
31,Ostrava,0,11,52,0,0,0,0,29,12,15,0
32,Pardubice,1,0,0,17,1,27,8,4,13,0,4
33,Plzeň,0,0,0,0,0,0,0,0,0,0,0
34,Poděbrady,1,1,3,0,0,0,0,0,0,15,0
35,Praha,47,0,48,0,56,40,17,74,46,20,1
36,Prostějov,188,0,0,0,15,7,8,8,10,6,10
37,Písek,0,0,0,0,10,9,0,2,0,0,2
38,Rudná,0,0,0,0,0,0,0,1,0,2,2
39,Rumburk,7,2,2,0,0,0,0,2,9,0,0
40,Semily,0,0,0,0,10,10,0,1,1,1,0
41,Slaný,0,0,0,0,0,0,0,31,3,1,0
42,Strakonice,0,0,0,0,14,12,7,2,6,1,3
43,Teplice,8,0,0,0,32,26,6,1,3,44,0
44,Turnov,142,0,0,0,4,4,0,0,0,5,0
45,Tábor,0,0,0,0,26,22,4,32,8,6,3
46,Třebíč,0,0,0,1,10,7,3,37,2,3,0
47,Uherské Hradiště,58,0,110,0,5,3,2,6,6,7,6
48,Valašské Meziříčí,0,0,4,0,0,0,0,4,5,1,1
49,Varnsdorf,0,0,0,0,0,0,0,1,1,3,0
50,Zlín,0,0,0,0,24,13,11,6,10,2,0
51,Čelákovice,103,0,0,0,0,0,0,8,0,1,0
52,Česká Lípa,0,0,0,0,8,12,2,2,2,2,11
53,České Budějovice,0,0,0,0,40,38,7,2,6,4,23
54,Český Krumlov,238,5,10,0,369,311,65,19,63,14,110
55,Český Těšín,95,0,85,0,8,7,1,10,0,7,0
56,Říčany,0,0,0,0,0,0,0,1,3,0,0
57,Šlapanice,9,0,16,0,14,9,5,24,4,1,0
58,Šumperk,215,0,255,0,0,0,0,0,4,18,0
59,Židlochovice,0,0,3,0,7,4,3,10,0,6,0
